"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.106848995E1,2.068270683E1,5.550314903E0,4.986190796E0,2.198732490E1
1.107242910E1,2.068270683E1,5.550314903E0,4.986190796E0,2.198732490E1
1.107636910E1,2.068270683E1,5.550314903E0,4.986190796E0,2.198732490E1
1.108030873E1,2.068270683E1,5.550314903E0,4.986190796E0,2.198732490E1
1.108424811E1,2.068270683E1,5.550314903E0,4.986190796E0,2.198732490E1
1.108818811E1,1.297677708E1,-1.586979032E0,1.051990032E0,1.311571305E1
1.109212759E1,1.297677708E1,-1.586979032E0,1.051990032E0,1.311571305E1
1.109606598E1,1.297677708E1,-1.586979032E0,1.051990032E0,1.311571305E1
1.110000544E1,1.297677708E1,-1.586979032E0,1.051990032E0,1.311571305E1
1.110394567E1,1.297677708E1,-1.586979032E0,1.051990032E0,1.311571305E1
1.110788536E1,5.485856056E0,-4.988873959E0,-3.047122955E0,8.016759841E0
1.111182538E1,5.485856056E0,-4.988873959E0,-3.047122955E0,8.016759841E0
1.111576515E1,5.485856056E0,-4.988873959E0,-3.047122955E0,8.016759841E0
1.111970515E1,5.485856056E0,-4.988873959E0,-3.047122955E0,8.016759841E0
1.112364515E1,5.485856056E0,-4.988873959E0,-3.047122955E0,8.016759841E0
1.112758569E1,3.031738043E0,-3.360415936E0,-2.236499071E0,5.048342195E0
1.113152700E1,3.031738043E0,-3.360415936E0,-2.236499071E0,5.048342195E0
1.113546723E1,3.031738043E0,-3.360415936E0,-2.236499071E0,5.048342195E0
1.113940724E1,3.031738043E0,-3.360415936E0,-2.236499071E0,5.048342195E0
1.114334693E1,3.031738043E0,-3.360415936E0,-2.236499071E0,5.048342195E0
1.114728640E1,3.031738043E0,-3.360415936E0,-2.236499071E0,5.048342195E0
1.115122607E1,6.231956959E0,6.037446022E0,7.662467957E0,1.157589984E1
1.115516546E1,6.231956959E0,6.037446022E0,7.662467957E0,1.157589984E1
1.115910507E1,6.231956959E0,6.037446022E0,7.662467957E0,1.157589984E1
1.116304598E1,6.231956959E0,6.037446022E0,7.662467957E0,1.157589984E1
