"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.955927020E-1,-2.305799909E-2,-7.296399772E-2,-1.430799961E-1,1.622568999E-1
8.995364720E-1,-5.015299842E-2,-7.169300318E-2,-6.181899831E-2,1.071298208E-1
9.034803950E-1,-5.015299842E-2,-7.169300318E-2,-6.181899831E-2,1.071298208E-1
9.074243900E-1,-5.015299842E-2,-7.169300318E-2,-6.181899831E-2,1.071298208E-1
9.113687740E-1,-5.015299842E-2,-7.169300318E-2,-6.181899831E-2,1.071298208E-1
9.153130050E-1,-5.015299842E-2,-7.169300318E-2,-6.181899831E-2,1.071298208E-1
9.192569770E-1,4.526599869E-2,-4.329999909E-2,-4.862200096E-2,7.929690748E-2
9.232016700E-1,4.526599869E-2,-4.329999909E-2,-4.862200096E-2,7.929690748E-2
9.271459000E-1,4.526599869E-2,-4.329999909E-2,-4.862200096E-2,7.929690748E-2
9.310899770E-1,4.526599869E-2,-4.329999909E-2,-4.862200096E-2,7.929690748E-2
9.350342080E-1,4.526599869E-2,-4.329999909E-2,-4.862200096E-2,7.929690748E-2
9.389779770E-1,4.529799893E-2,-1.238079965E-1,-1.444150060E-1,1.955403352E-1
9.429219720E-1,4.529799893E-2,-1.238079965E-1,-1.444150060E-1,1.955403352E-1
9.468655880E-1,4.529799893E-2,-1.238079965E-1,-1.444150060E-1,1.955403352E-1
9.508092750E-1,4.529799893E-2,-1.238079965E-1,-1.444150060E-1,1.955403352E-1
9.547535830E-1,4.529799893E-2,-1.238079965E-1,-1.444150060E-1,1.955403352E-1
9.586979670E-1,7.237199694E-2,-8.128099889E-2,-1.586710066E-1,1.924078872E-1
9.626419670E-1,7.237199694E-2,-8.128099889E-2,-1.586710066E-1,1.924078872E-1
9.665865060E-1,7.237199694E-2,-8.128099889E-2,-1.586710066E-1,1.924078872E-1
9.705305830E-1,7.237199694E-2,-8.128099889E-2,-1.586710066E-1,1.924078872E-1
9.744748900E-1,7.237199694E-2,-8.128099889E-2,-1.586710066E-1,1.924078872E-1
9.784192080E-1,7.191000134E-2,-1.065689996E-1,-2.003010064E-1,2.380094392E-1
9.823635160E-1,7.191000134E-2,-1.065689996E-1,-2.003010064E-1,2.380094392E-1
9.863083620E-1,7.191000134E-2,-1.065689996E-1,-2.003010064E-1,2.380094392E-1
9.902526750E-1,7.191000134E-2,-1.065689996E-1,-2.003010064E-1,2.380094392E-1
9.941966750E-1,7.191000134E-2,-1.065689996E-1,-2.003010064E-1,2.380094392E-1
9.981407520E-1,1.668100059E-2,-1.044690013E-1,-1.194270030E-1,1.595457209E-1
1.002084986E0,1.668100059E-2,-1.044690013E-1,-1.194270030E-1,1.595457209E-1
1.006028986E0,1.668100059E-2,-1.044690013E-1,-1.194270030E-1,1.595457209E-1
1.009972756E0,1.668100059E-2,-1.044690013E-1,-1.194270030E-1,1.595457209E-1
1.013917000E0,1.668100059E-2,-1.044690013E-1,-1.194270030E-1,1.595457209E-1
1.017861000E0,-5.246600136E-2,2.014099993E-2,-2.493299916E-2,6.148166901E-2
1.021804770E0,-5.246600136E-2,2.014099993E-2,-2.493299916E-2,6.148166901E-2
1.025748693E0,-5.246600136E-2,2.014099993E-2,-2.493299916E-2,6.148166901E-2
1.029692077E0,-5.246600136E-2,2.014099993E-2,-2.493299916E-2,6.148166901E-2
1.033635847E0,-5.246600136E-2,2.014099993E-2,-2.493299916E-2,6.148166901E-2
1.037580096E0,-5.341799930E-2,-1.140789986E-1,-5.299900100E-2,1.366616064E-1
1.041523558E0,-5.341799930E-2,-1.140789986E-1,-5.299900100E-2,1.366616064E-1
1.045466943E0,-5.341799930E-2,-1.140789986E-1,-5.299900100E-2,1.366616064E-1
1.049410943E0,-5.341799930E-2,-1.140789986E-1,-5.299900100E-2,1.366616064E-1
1.053354558E0,-5.341799930E-2,-1.140789986E-1,-5.299900100E-2,1.366616064E-1
1.057298327E0,1.772219986E-1,-2.073329985E-1,2.786299959E-2,2.741732222E-1
1.061242322E0,1.772219986E-1,-2.073329985E-1,2.786299959E-2,2.741732222E-1
1.065186322E0,1.772219986E-1,-2.073329985E-1,2.786299959E-2,2.741732222E-1
1.069130245E0,1.772219986E-1,-2.073329985E-1,2.786299959E-2,2.741732222E-1
1.073073948E0,1.772219986E-1,-2.073329985E-1,2.786299959E-2,2.741732222E-1
1.077017640E0,1.772219986E-1,-2.073329985E-1,2.786299959E-2,2.741732222E-1
1.080961025E0,6.735599786E-2,-1.096220016E-1,-1.229259968E-1,1.779455377E-1
1.084904481E0,6.735599786E-2,-1.096220016E-1,-1.229259968E-1,1.779455377E-1
1.088848481E0,6.735599786E-2,-1.096220016E-1,-1.229259968E-1,1.779455377E-1
1.092792481E0,6.735599786E-2,-1.096220016E-1,-1.229259968E-1,1.779455377E-1
1.096736178E0,6.735599786E-2,-1.096220016E-1,-1.229259968E-1,1.779455377E-1
1.100680179E0,-1.240020022E-1,6.972300261E-2,-3.009040058E-1,3.328378199E-1
1.104624179E0,-1.240020022E-1,6.972300261E-2,-3.009040058E-1,3.328378199E-1
1.108568188E0,-1.240020022E-1,6.972300261E-2,-3.009040058E-1,3.328378199E-1
